epoch,out_0,out_1,step,train_loss
24,0.089300736784935,0.11580989509820938,49,0.7817921042442322
49,0.1123499870300293,0.14169014990329742,99,0.7366958260536194
74,0.1364896148443222,0.16892796754837036,149,0.690680742263794
99,0.16153018176555634,0.19739505648612976,199,0.6441746354103088
124,0.18716467916965485,0.22679957747459412,249,0.597838819026947
149,0.21294841170310974,0.25667691230773926,299,0.5525292158126831
174,0.23832060396671295,0.28643134236335754,349,0.5091802477836609
199,0.2626633048057556,0.3154194951057434,399,0.4686504602432251
224,0.28537651896476746,0.34304749965667725,449,0.4315865933895111
249,0.30594098567962646,0.3688501715660095,499,0.3983501195907593
274,0.32394930720329285,0.3925323188304901,549,0.36901694536209106
299,0.3391006290912628,0.4139707684516907,599,0.3434302508831024
324,0.3511636257171631,0.43318793177604675,649,0.32127588987350464
349,0.35991963744163513,0.450314462184906,699,0.30215418338775635
374,0.36509376764297485,0.46555396914482117,749,0.28563252091407776
399,0.36627432703971863,0.4791582524776459,799,0.2712760865688324
424,0.3628213107585907,0.4914196729660034,849,0.2586539387702942
449,0.35375821590423584,0.5026811361312866,899,0.2473260462284088
474,0.33766382932662964,0.51337730884552,949,0.2368016391992569
499,0.31261175870895386,0.5241162180900574,999,0.2264653742313385
524,0.2763693928718567,0.5358276963233948,1049,0.21545593440532684
549,0.227715864777565,0.5500038862228394,1099,0.2024964988231659
574,0.17078286409378052,0.5687929391860962,1149,0.18593953549861908
599,0.11860860884189606,0.5935968160629272,1199,0.1651635468006134
624,0.0817711129784584,0.6223493218421936,1249,0.1426200419664383
649,0.05842114984989166,0.6510277986526489,1299,0.1217815950512886
674,0.04313328117132187,0.6772335767745972,1349,0.10417816042900085
699,0.03265770897269249,0.7003557085990906,1399,0.08978670090436935
724,0.025297503918409348,0.7205397486686707,1449,0.07809802889823914
749,0.02001844346523285,0.7381474375724792,1499,0.06856676191091537
774,0.016149107366800308,0.7535681128501892,1549,0.06072867661714554
799,0.013249906711280346,0.767153799533844,1599,0.05421735346317291
824,0.011033923365175724,0.7792023420333862,1649,0.04875160753726959
849,0.009307708591222763,0.7899590730667114,1699,0.044117189943790436
874,0.007940723560750484,0.7996238470077515,1749,0.04015060141682625
899,0.006841433234512806,0.8083598613739014,1799,0.03672594204545021
924,0.0059462483040988445,0.8162999153137207,1849,0.033745720982551575
949,0.005207814276218414,0.823553204536438,1899,0.031133471056818962
974,0.004592576529830694,0.830210268497467,1949,0.02882855199277401
999,0.004075101111084223,0.8363458514213562,1999,0.026782680302858353
1024,0.0036357420030981302,0.8420233130455017,2049,0.024956634268164635
1049,0.0032600630074739456,0.8472954034805298,2099,0.023318693041801453
1074,0.0029361899942159653,0.8522074818611145,2149,0.021842628717422485
1099,0.002655835123732686,0.8567979335784912,2199,0.020506832748651505
1124,0.0024110651575028896,0.861099898815155,2249,0.01929323747754097
1149,0.0021965219639241695,0.8651420474052429,2299,0.018186667934060097
1174,0.0020072918850928545,0.8689490556716919,2349,0.01717435009777546
1199,0.0018396448576822877,0.8725429773330688,2399,0.016245292499661446
1224,0.0016907383687794209,0.8759425282478333,2449,0.01539025641977787
1249,0.0015577917220070958,0.8791646957397461,2499,0.014601171016693115
1274,0.0014386597322300076,0.8822242021560669,2549,0.013871138915419579
1299,0.001331427600234747,0.885134220123291,2599,0.013194147497415543
1324,0.0012348181335255504,0.8879064917564392,2649,0.012564954347908497
1349,0.0011474115308374166,0.8905515670776367,2699,0.011978959664702415
1374,0.0010678654070943594,0.8930789232254028,2749,0.011432116851210594
1399,0.000995884882286191,0.8954968452453613,2799,0.010920909233391285
1424,0.0009300808305852115,0.8978131413459778,2849,0.010442154482007027
1449,0.0008695548167452216,0.9000346064567566,2899,0.009993080049753189
1474,0.0008146352483890951,0.9021677374839783,2949,0.009571151807904243
1499,0.0007642293930985034,0.9042181968688965,2999,0.00917415414005518
1524,0.0007176019134931266,0.9061909317970276,3049,0.008800141513347626
1549,0.0006746089202351868,0.908091127872467,3099,0.00844724103808403
1574,0.0006350168259814382,0.9099228382110596,3149,0.008113894611597061
1599,0.000598279177211225,0.9116901159286499,3199,0.007798635400831699
1624,0.0005643393960781395,0.9133967757225037,3249,0.0075001185759902
1649,0.0005326863029040396,0.9150461554527283,3299,0.007217155769467354
1674,0.0005034967325627804,0.9166412949562073,3349,0.006948673631995916
1699,0.000476357206935063,0.918185293674469,3399,0.006693646311759949
1724,0.000450905499747023,0.9196805953979492,3449,0.006451206747442484
1749,0.00042701265192590654,0.9211300611495972,3499,0.006220467388629913
1774,0.00040533937863074243,0.9225354194641113,3549,0.006000761408358812
1799,0.0003846209147013724,0.9238994717597961,3599,0.005791290197521448
1824,0.0003651635197456926,0.9252235889434814,3649,0.0055915117263793945
1849,0.00034684358979575336,0.9265102744102478,3699,0.00540073961019516
1874,0.0003298299852758646,0.9277608394622803,3749,0.005218496546149254
1899,0.00031409357325173914,0.9289770722389221,3799,0.005044256336987019
1924,0.0002988488122355193,0.9301605820655823,3849,0.0048775444738566875
1949,0.0002846524876076728,0.931312620639801,3899,0.00471795629709959
1974,0.00027126295026391745,0.932434618473053,3949,0.004565080627799034
1999,0.0002588088100310415,0.933527946472168,3999,0.004418533761054277
