epoch,out_0,out_1,step,train_loss
24,-0.002997444476932287,0.9972703456878662,49,7.45101260690717e-06
49,0.00028517836472019553,0.9972710609436035,99,7.447108146152459e-06
74,4.487064416025532e-06,0.9972719550132751,149,7.442229616572149e-06
99,1.96884843717271e-06,0.9972730875015259,199,7.4360518738103565e-06
124,8.012922307898407e-07,0.9972741603851318,249,7.430201549141202e-06
149,1.2134145208619884e-06,0.9972755908966064,299,7.422404905810254e-06
174,-4.3500878632585227e-07,0.997277021408081,349,7.414612355205463e-06
199,4.808129574485065e-07,0.9972787499427795,399,7.405201813526219e-06
224,8.929656587497448e-07,0.997280478477478,449,7.395797183562536e-06
249,1.1448647541101309e-07,0.9972823858261108,499,7.38542667022557e-06
274,-6.182484071359795e-07,0.9972842931747437,549,7.375063432846218e-06
299,3.892819790962676e-07,0.9972863793373108,599,7.363737040577689e-06
324,-4.5799666281709506e-08,0.9972885847091675,649,7.351773092523217e-06
349,4.351147140368994e-07,0.9972909092903137,699,7.339172498177504e-06
374,1.1450879355834331e-07,0.9972932934761047,749,7.326260401896434e-06
399,-1.2596526630659355e-06,0.9972957968711853,799,7.312714387808228e-06
424,6.184043286339147e-07,0.9972984790802002,849,7.298215223272564e-06
449,1.0307238653695094e-06,0.9973011612892151,899,7.283730610652128e-06
474,1.1453070101197227e-06,0.9973039627075195,949,7.268617082445417e-06
499,-4.810539735444763e-07,0.9973069429397583,999,7.2525563155068085e-06
524,2.9781159582853434e-07,0.9973099827766418,1049,7.23619268683251e-06
549,8.476656603306765e-07,0.9973131418228149,1099,7.219206963782199e-06
574,8.935375035434845e-07,0.997316300868988,1149,7.2022412496153265e-06
599,-1.145629084930988e-06,0.9973196387290955,1199,7.184336482168874e-06
624,1.0769590517156757e-06,0.9973231554031372,1249,7.165497208916349e-06
649,-3.00192596114357e-06,0.997326672077179,1299,7.146682037273422e-06
674,1.1825215551652946e-05,0.9973303079605103,1349,7.127255685190903e-06
699,-0.008250577375292778,0.9973341226577759,1399,7.106902103259927e-06
724,-0.00037071420229040086,0.997336208820343,1449,7.095783530530753e-06
749,4.377610093797557e-05,0.9973393082618713,1499,7.079280749167083e-06
774,-7.330719427045551e-07,0.997342586517334,1549,7.061846190481447e-06
799,1.7411559838365065e-06,0.9973459839820862,1599,7.04380090610357e-06
824,-4.339361476013437e-05,0.9973494410514832,1649,7.0254627644317225e-06
849,0.005486813373863697,0.9973527193069458,1699,7.008095053606667e-06
874,0.0005922228447161615,0.9973551034927368,1749,6.995477633608971e-06
899,-4.500268187257461e-05,0.9973582625389099,1799,6.978777037147665e-06
924,-6.275638497754699e-06,0.9973614811897278,1849,6.961781309655635e-06
949,-1.415538281435147e-05,0.9973648190498352,1899,6.9441784944501705e-06
974,0.0016159527003765106,0.9973681569099426,1949,6.9265979618649e-06
999,0.0014691115356981754,0.9973704814910889,1999,6.914367531862808e-06
1024,-0.00012654747115448117,0.9973734021186829,2049,6.899016625538934e-06
1049,-1.6944881053859717e-06,0.997376561164856,2099,6.882431534904754e-06
1074,-1.2434590644261334e-05,0.997379720211029,2149,6.865865998406662e-06
1099,0.0009588719112798572,0.9973828792572021,2199,6.8493209255393595e-06
1124,-0.0006229451973922551,0.9973851442337036,2249,6.837470664322609e-06
1149,5.670468453899957e-05,0.9973881244659424,2299,6.821893748565344e-06
1174,7.005392490100348e-06,0.9973911643028259,2349,6.8060235207667574e-06
1199,7.761339475109708e-06,0.9973942041397095,2399,6.790171937609557e-06
