epoch,out_0,out_1,step,train_loss
0,1.905288740999822e-06,0.9951949119567871,1,2.308887087565381e-05
1,-0.13692133128643036,0.9965521097183228,3,1.1887947039213032e-05
2,0.08439528197050095,0.9961779117584229,5,1.460835846955888e-05
3,0.06771659851074219,0.9958245158195496,7,1.743466782500036e-05
4,-0.004127943888306618,0.9954831600189209,9,2.040184335783124e-05
5,-0.042495425790548325,0.9951151013374329,11,2.386223422945477e-05
6,-0.05003674700856209,0.9946907758712769,13,2.8187860152684152e-05
7,-0.038123421370983124,0.9942147135734558,15,3.346953963045962e-05
8,-0.018177414312958717,0.9937232732772827,17,3.939729867852293e-05
9,0.001681485096924007,0.9932572841644287,19,4.546421769191511e-05
10,0.01643674261868,0.992830216884613,21,5.1405790145508945e-05
11,0.023336686193943024,0.9924300909042358,23,5.7303524954477325e-05
12,0.022375591099262238,0.9920463562011719,25,6.326044967863709e-05
13,0.01612558588385582,0.9916873574256897,27,6.910002412041649e-05
14,0.00788256898522377,0.9913723468780518,29,7.443640060955659e-05
15,0.00010048234980786219,0.9911169409751892,31,7.890873530413955e-05
16,-0.005888774991035461,0.9909258484840393,33,8.234022243414074e-05
17,-0.009557496756315231,0.990794837474823,35,8.473501657135785e-05
18,-0.010878046974539757,0.9907180666923523,37,8.615428669145331e-05
19,-0.01014619879424572,0.990692138671875,39,8.663628250360489e-05
20,-0.007868546061217785,0.9907155632972717,41,8.620076550869271e-05
21,-0.004668648820370436,0.990787148475647,43,8.487663581036031e-05
22,-0.0012060903245583177,0.99090176820755,45,8.277782035293058e-05
23,0.0018965633353218436,0.991050660610199,47,8.009067823877558e-05
24,0.004131571855396032,0.9912224411964417,49,7.704553718212992e-05
25,0.005190286785364151,0.9914069175720215,51,7.384106720564887e-05
26,0.0050263977609574795,0.9915972948074341,53,7.060545613057911e-05
27,0.0038559960667043924,0.9917897582054138,55,6.740807293681428e-05
28,0.002082109684124589,0.9919829368591309,57,6.427329935831949e-05
29,0.00017628140631131828,0.9921753406524658,59,6.122529157437384e-05
30,-0.0014347847318276763,0.9923653602600098,61,5.828772555105388e-05
31,-0.0024500093422830105,0.9925512075424194,63,5.548451008507982e-05
32,-0.0027354753110557795,0.9927313923835754,65,5.2832656365353614e-05
33,-0.002331431256607175,0.9929047226905823,67,5.0342961912974715e-05
34,-0.001427356037311256,0.9930703043937683,69,4.802067996934056e-05
35,-0.00030950369546189904,0.9932277798652649,71,4.586296563502401e-05
36,0.0007115178159438074,0.9933764934539795,73,4.3870837544091046e-05
37,0.0013802895555272698,0.99351567029953,75,4.204653305350803e-05
38,0.001563407713547349,0.9936458468437195,77,4.037526377942413e-05
39,0.001279328833334148,0.9937674403190613,79,3.884479883708991e-05
40,0.0006795868393965065,0.9938816428184509,81,3.743429624591954e-05
41,-1.1822272426798008e-05,0.9939898252487183,83,3.6122200981481e-05
42,-0.0005743577494286001,0.994092583656311,85,3.489756636554375e-05
43,-0.0008571573998779058,0.9941909313201904,87,3.374528023414314e-05
44,-0.0008156790281645954,0.9942846298217773,89,3.2665455364622176e-05
45,-0.0005125814350321889,0.99437415599823,91,3.165012094541453e-05
46,-8.598377462476492e-05,0.994459331035614,93,3.069901140406728e-05
47,0.00030283466912806034,0.9945398569107056,95,2.9813161745551042e-05
48,0.0005262757185846567,0.9946162104606628,97,2.8985190510866232e-05
49,0.0005314872250892222,0.9946882128715515,99,2.821508314809762e-05
50,0.00035064120311290026,0.9947565793991089,101,2.7493459128891118e-05
51,7.91270867921412e-05,0.9948218464851379,103,2.6813273507286794e-05
52,-0.0001680114073678851,0.9948844909667969,105,2.616843266878277e-05
53,-0.0003017823910340667,0.9949448108673096,107,2.555493665568065e-05
54,-0.0002893061318900436,0.9950032830238342,109,2.4967181161628105e-05
55,-0.0001590823521837592,0.9950595498085022,111,2.4408047465840355e-05
56,1.8260656361235306e-05,0.9951136708259583,113,2.387621316302102e-05
57,0.00016327844059560448,0.9951656460762024,115,2.3370977942249738e-05
58,0.00022130567231215537,0.9952153563499451,117,2.2892814740771428e-05
59,0.00018195068696513772,0.9952631592750549,119,2.243765993625857e-05
60,7.800762978149578e-05,0.9953092932701111,121,2.2002730474923737e-05
61,-3.518295125104487e-05,0.9953539967536926,123,2.158534698537551e-05
62,-0.00010641562403179705,0.9953972697257996,125,2.1185125660849735e-05
63,-0.00011106014426331967,0.995439350605011,127,2.079952355416026e-05
64,-5.817904093419202e-05,0.9954802989959717,129,2.0427696654223837e-05
65,1.8392238416709006e-05,0.9955198764801025,131,2.0071507606189698e-05
66,7.90216654422693e-05,0.9955584406852722,133,1.9727449398487806e-05
67,9.764383139554411e-05,0.9955956339836121,135,1.939843969012145e-05
68,7.218682003440335e-05,0.9956316947937012,137,1.9082090148003772e-05
69,2.226960896223318e-05,0.9956668019294739,139,1.8776605429593474e-05
70,-2.3372698706225492e-05,0.9957009553909302,141,1.8481785446056165e-05
71,-4.2796702473424375e-05,0.9957342743873596,143,1.8196415112470277e-05
72,-3.0753453756915405e-05,0.9957668781280518,145,1.7919321180670522e-05
73,1.2412314163157134e-06,0.9957985877990723,147,1.7651864254730754e-05
74,3.320629184599966e-05,0.9958296418190002,149,1.7391887013218366e-05
75,4.81784954899922e-05,0.9958597421646118,151,1.714173413347453e-05
76,4.109819928999059e-05,0.9958890676498413,153,1.6899764887057245e-05
77,1.9340219296282157e-05,0.9959178566932678,155,1.666389471211005e-05
78,-2.7216528906137682e-06,0.9959458708763123,157,1.643596260691993e-05
79,-1.2943964975420386e-05,0.9959732890129089,159,1.6214400602621026e-05
80,-7.78843150328612e-06,0.9960001707077026,161,1.599863389856182e-05
81,7.234758413687814e-06,0.9960264563560486,163,1.5789049939485267e-05
82,2.171555934182834e-05,0.9960522055625916,165,1.558508120069746e-05
83,2.7387490263208747e-05,0.9960773587226868,167,1.5387115126941353e-05
